#{"t_start": 1734874795.2420647, "env_id": "None"}
r,l,t
27.53702,1000,612.30732
26.548243,1000,612.307332
35.404663,1000,612.307343
32.51085,1000,619.699411
33.931065,1000,619.699467
45.215267,1000,619.699483
37.284546,1000,619.699495
1.6946284,1000,619.699504
36.925358,1000,619.699514
26.302519,1000,619.699523
33.329254,1000,619.699533
31.31957,1000,619.699557
63.943195,1000,619.699567
41.55164,1000,631.747917
64.759865,1000,631.747977
36.880993,1000,631.747993
31.54916,1000,631.748005
38.06072,1000,631.748015
34.29143,1000,631.748025
34.749504,1000,631.748034
36.27459,1000,631.748044
31.203934,1000,631.748053
7.559073,1000,631.748062
45.240685,1000,639.396109
42.638107,1000,639.396194
37.581326,1000,639.396211
36.803776,1000,639.396222
25.341185,1000,639.396231
59.07253,1000,639.396241
84.513214,1000,639.39625
35.239727,1000,639.39626
36.592197,1000,639.39627
41.21679,1000,639.396279
40.885498,1000,651.32882
31.745224,1000,651.328918
41.22904,1000,651.328938
33.130146,1000,651.328952
30.187283,1000,651.328972
39.27196,1000,651.328984
39.082882,1000,651.328996
32.32381,1000,651.32901
35.289642,1000,651.329022
60.490776,1000,651.329034
39.69176,1000,658.785357
36.658604,1000,658.785441
15.463408,1000,658.785469
41.80951,1000,658.785487
35.546917,1000,658.785504
42.59143,1000,658.785521
54.18772,1000,658.785537
18.867521,1000,658.785551
31.743984,1000,658.785566
69.83024,1000,658.785582
54.164948,1000,671.232671
37.27216,1000,671.232743
31.144072,1000,671.232758
33.904972,1000,671.232769
66.99105,1000,671.23278
30.936245,1000,671.23279
36.130154,1000,671.2328
-194.50887,1000,671.232809
36.93123,1000,671.232819
33.0036,1000,671.232828
30.535994,1000,678.589217
41.987545,1000,678.589292
40.501278,1000,678.58931
32.25369,1000,678.589321
83.55734,1000,678.589332
-1.9419235,1000,678.589342
28.051195,1000,678.589352
55.084854,1000,678.589361
37.329292,1000,678.589373
30.392094,1000,678.589383
29.601297,1000,690.547703
97.602135,1000,690.547774
24.974514,1000,690.54779
75.18918,1000,690.547801
41.606445,1000,690.547812
32.511585,1000,690.547821
34.776012,1000,690.54783
36.064415,1000,690.54784
43.729187,1000,690.547849
34.249775,1000,690.547859
40.98704,1000,697.830177
29.852695,1000,697.830266
66.490204,1000,697.830295
44.215416,1000,697.830313
32.80396,1000,697.830332
74.34794,1000,697.83035
40.76835,1000,697.83037
31.09609,1000,697.830385
46.63655,1000,697.830399
31.007656,1000,697.830414
35.020504,1000,710.279452
46.810715,1000,710.279516
46.000748,1000,710.279533
40.46755,1000,710.279544
34.321228,1000,710.279554
38.32752,1000,710.279564
18.160065,1000,710.279573
59.37292,1000,710.279583
42.498928,1000,710.279592
47.722767,1000,710.279602
42.9348,1000,717.692685
40.093105,1000,717.692782
43.562088,1000,717.692806
62.871647,1000,717.692822
9.634869,1000,717.692839
31.809132,1000,717.692858
31.264496,1000,717.692873
27.909443,1000,717.692889
57.844048,1000,717.692905
21.597546,1000,717.692919
34.64243,1000,729.798602
71.68447,1000,729.798681
56.85467,1000,729.798708
46.41659,1000,729.798728
39.508785,1000,729.798746
37.626835,1000,729.798764
33.402103,1000,729.798781
40.330738,1000,729.798803
18.814613,1000,729.798823
57.686115,1000,729.79884
48.89669,1000,737.406511
92.51972,1000,737.406594
47.02934,1000,737.406618
38.762302,1000,737.406635
33.962067,1000,737.406659
55.06429,1000,737.406675
35.82113,1000,737.40669
38.49725,1000,737.406713
40.736694,1000,737.406731
39.59802,1000,737.40675
106.05444,1000,749.257745
36.78536,1000,749.257837
45.755733,1000,749.257857
38.066395,1000,749.257871
47.44775,1000,749.257885
31.828299,1000,749.257897
43.328373,1000,749.257911
37.536278,1000,749.257924
25.820126,1000,749.257938
34.98977,1000,749.257952
11.883799,1000,756.533852
65.16394,1000,756.533918
51.320217,1000,756.533936
37.76332,1000,756.53395
31.35465,1000,756.533963
43.39136,1000,756.533975
39.651882,1000,756.533987
40.962025,1000,756.533999
21.364845,1000,756.534011
75.88984,1000,756.534023
51.69821,1000,768.577477
-304.27744,1000,768.577555
58.42429,1000,768.577582
-35.981205,1000,768.577609
86.985214,1000,768.577635
37.537174,1000,768.57765
46.71308,1000,768.57767
44.77251,1000,768.577686
18.587593,1000,768.57772
43.892193,1000,768.577738
42.718826,1000,775.874169
42.66871,1000,775.874251
36.77174,1000,775.874268
4.2212563,1000,775.874302
79.488495,1000,775.874312
43.353756,1000,775.874321
42.41888,1000,775.87433
43.397366,1000,775.874339
37.942497,1000,775.874362
70.43917,1000,775.87437
37.328533,1000,787.905896
49.908863,1000,787.90596
56.320587,1000,787.905977
43.463272,1000,787.905988
23.631481,1000,787.905998
47.175587,1000,787.906008
35.978146,1000,787.906018
54.591103,1000,787.906028
60.85125,1000,787.906037
34.069305,1000,787.906047
36.545265,1000,795.007702
63.235283,1000,795.007777
26.918299,1000,795.007797
47.80671,1000,795.007815
45.862057,1000,795.007831
38.45542,1000,795.007846
54.410862,1000,795.007862
-44.473938,1000,795.007878
37.836964,1000,795.007894
-118.84234,1000,795.007909
44.233185,1000,807.433623
33.222622,1000,807.433686
86.91862,1000,807.433721
45.60836,1000,807.433734
32.346428,1000,807.433744
41.334473,1000,807.433754
36.914013,1000,807.433764
63.27931,1000,807.433777
20.580187,1000,807.433788
41.342804,1000,807.433798
54.826847,1000,814.707813
58.459347,1000,814.707876
26.6893,1000,814.707898
52.90828,1000,814.707915
85.004326,1000,814.707931
53.203438,1000,814.707947
25.493937,1000,814.707963
35.509583,1000,814.707978
4.8277655,1000,814.707994
45.33786,1000,814.70801
42.29594,1000,822.046785
34.27844,1000,822.047784
36.789005,1000,822.047879
-27.7749,1000,822.047896
17.217289,1000,822.047912
40.17869,1000,822.04794
61.63246,1000,822.047954
44.782406,1000,822.047968
45.300926,1000,822.047981
38.669422,1000,822.047995
51.821636,1000,833.87615
42.13289,1000,833.876227
59.903824,1000,833.876258
27.350086,1000,833.876282
56.037357,1000,833.876307
38.21402,1000,833.876327
43.819256,1000,833.876344
49.27359,1000,833.876361
56.147346,1000,833.876383
58.19209,1000,833.876401
32.94042,1000,841.63335
45.976444,1000,841.633411
71.73146,1000,841.633432
35.912594,1000,841.633449
35.764034,1000,841.633466
40.46892,1000,841.633482
52.19032,1000,841.633497
33.2025,1000,841.633513
35.548637,1000,841.633528
28.937315,1000,841.633543
40.18272,1000,853.527807
51.052586,1000,853.527886
87.6621,1000,853.527915
39.626556,1000,853.527938
38.65522,1000,853.527957
39.1266,1000,853.527978
30.808506,1000,853.527996
40.888153,1000,853.528011
26.397131,1000,853.528026
99.585594,1000,853.528044
94.94339,1000,860.896072
41.712536,1000,860.896132
40.783077,1000,860.896149
44.48,1000,860.89616
33.13449,1000,860.896171
16.139616,1000,860.896181
88.41641,1000,860.89619
16.158968,1000,860.8962
60.852364,1000,860.896209
53.117756,1000,860.896219
64.243195,1000,873.227932
42.702335,1000,873.228025
55.51961,1000,873.228047
25.63188,1000,873.228061
38.763844,1000,873.228074
41.20936,1000,873.228087
30.811678,1000,873.228099
100.37373,1000,873.228111
41.78253,1000,873.228124
35.97099,1000,873.228136
27.74064,1000,880.511839
39.118923,1000,880.511901
31.052217,1000,880.511917
60.04273,1000,880.51193
26.508331,1000,880.51194
49.70074,1000,880.51195
107.245995,1000,880.51196
51.7097,1000,880.511969
51.297924,1000,880.511979
-21.199549,1000,880.511988
41.872482,1000,892.361471
